Direction,Flat_Lots,Date_In,Time_In,Price_In,Date_Out,Time_Out,Price_Out,PTS,Flat_P&L,Status,Session_In
SHORT,0.10,2026-01-02,10:00,$89544.27,2026-01-03,21:00,$90439.71,-895.44,$-89.54,SL,London
SHORT,0.10,2026-01-04,01:00,$91197.30,2026-01-05,00:00,$92109.28,-911.97,$-91.20,SL,Asian
SHORT,0.10,2026-01-05,01:00,$92916.91,2026-01-05,15:00,$93846.08,-929.17,$-92.92,SL,Asian
LONG,0.10,2026-01-06,17:00,$91550.18,2026-01-08,06:00,$90634.68,-915.50,$-91.55,SL,NewYork
SHORT,0.10,2026-01-11,14:00,$91043.95,2026-01-12,02:00,$91954.38,-910.44,$-91.04,SL,NewYork
SHORT,0.10,2026-01-13,15:00,$93283.03,2026-01-13,20:00,$94215.86,-932.83,$-93.28,SL,NewYork
LONG,0.10,2026-01-19,01:00,$92509.73,2026-01-20,06:00,$91584.63,-925.10,$-92.51,SL,Asian
LONG,0.10,2026-01-20,06:00,$90770.22,2026-01-20,17:00,$89862.52,-907.70,$-90.77,SL,London
LONG,0.10,2026-01-25,03:00,$88839.12,2026-01-25,17:00,$87950.73,-888.39,$-88.84,SL,Asian
LONG,0.10,2026-01-29,14:00,$86876.08,2026-01-29,15:00,$86007.32,-868.76,$-86.88,SL,NewYork
LONG,0.10,2026-01-29,15:00,$84758.59,2026-01-29,18:00,$83911.01,-847.59,$-84.76,SL,NewYork
LONG,0.10,2026-01-31,14:00,$81360.44,2026-01-31,16:00,$80546.83,-813.60,$-81.36,SL,NewYork
LONG,0.10,2026-01-31,16:00,$80141.04,2026-01-31,17:00,$79339.63,-801.41,$-80.14,SL,NewYork
LONG,0.10,2026-01-31,17:00,$78709.90,2026-01-31,18:00,$77922.80,-787.10,$-78.71,SL,NewYork
LONG,0.10,2026-02-03,17:00,$74846.29,2026-02-03,18:00,$74097.83,-748.46,$-74.85,SL,NewYork
LONG,0.10,2026-02-04,17:00,$72488.21,2026-02-05,02:00,$71763.33,-724.88,$-72.49,SL,NewYork
LONG,0.10,2026-02-05,15:00,$67298.31,2026-02-05,17:00,$66625.33,-672.98,$-67.30,SL,NewYork
LONG,0.10,2026-02-05,17:00,$66066.13,2026-02-05,19:00,$65405.47,-660.66,$-66.07,SL,NewYork
SHORT,0.10,2026-02-06,16:00,$69743.15,2026-02-06,17:00,$70440.58,-697.43,$-69.74,SL,NewYork
SHORT,0.10,2026-02-06,17:00,$70801.62,2026-02-07,12:00,$68615.09,+2186.53,$+218.65,TP1_Trail,NewYork
SHORT,0.10,2026-02-08,13:00,$71404.69,2026-02-09,15:00,$69308.97,+2095.72,$+209.57,TP1_Trail,NewYork
LONG,0.10,2026-02-11,06:00,$66750.91,2026-02-11,16:00,$66083.40,-667.51,$-66.75,SL,London
SHORT,0.10,2026-02-13,14:00,$67689.41,2026-02-13,15:00,$68366.31,-676.89,$-67.69,SL,NewYork
SHORT,0.10,2026-02-13,15:00,$68573.48,2026-02-14,08:00,$69259.22,-685.73,$-68.57,SL,NewYork
SHORT,0.10,2026-02-14,11:00,$70448.53,2026-02-16,20:00,$68183.38,+2265.15,$+226.52,TP1_Trail,London
LONG,0.10,2026-02-17,14:00,$66916.46,2026-02-18,19:00,$66247.30,-669.16,$-66.92,SL,NewYork
LONG,0.10,2026-02-23,01:00,$64598.59,2026-02-23,15:00,$65724.09,+1125.50,$+112.55,TP1_Trail,Asian
SHORT,0.10,2026-02-25,01:00,$65926.26,2026-02-25,14:00,$66585.52,-659.26,$-65.93,SL,Asian
SHORT,0.10,2026-02-25,14:00,$66909.93,2026-02-25,16:00,$67579.03,-669.10,$-66.91,SL,NewYork
SHORT,0.10,2026-02-25,17:00,$68626.41,2026-02-25,18:00,$69312.68,-686.26,$-68.63,SL,NewYork
LONG,0.10,2026-02-28,06:00,$63106.07,2026-02-28,19:00,$66261.38,+3155.30,$+315.53,TP2,London
LONG,0.10,2026-03-03,09:00,$66648.62,2026-03-04,03:00,$67992.98,+1344.36,$+134.44,TP1_Trail,London
SHORT,0.10,2026-03-04,09:00,$71472.71,2026-03-04,15:00,$72187.44,-714.73,$-71.47,SL,London
SHORT,0.10,2026-03-04,15:00,$73245.12,2026-03-06,13:00,$69582.87,+3662.26,$+366.23,TP2,NewYork
