Trade_Num,Date,Type,Entry_Price,Exit_Price,Result,Gross_PnL,Entry_Cost,Exit_Cost,Net_PnL,Cumulative_PnL,Circuit_Breaker_Active,YearMonth,Year,Month
0,2024-07-19,SHORT,63974.06640625,64741.755203125,SL,-76.76887968750016,6.397406640625,6.4741755203125,-89.64046184843765,-89.64046184843765,No,2024-07,2024,7
1,2024-07-21,SHORT,66710.15625,67510.678125,SL,-80.05218750000058,6.671015625,6.751067812500001,-93.47427093750058,-183.11473278593823,No,2024-07,2024,7
2,2024-07-24,SHORT,68154.5234375,65428.3425,TP,272.6180937500001,6.8154523437500005,6.54283425,259.25980715625013,76.1450743703119,No,2024-07,2024,7
3,2024-07-26,SHORT,65372.1328125,66156.59840625,SL,-78.44655937500066,6.537213281250001,6.615659840625002,-91.59943249687566,-15.454358126563761,No,2024-07,2024,7
4,2024-07-31,SHORT,67912.0625,65195.579999999994,TP,271.6482500000006,6.79120625,6.519558,258.33748575000055,242.8831276234368,No,2024-07,2024,7
5,2024-09-24,SHORT,62940.45703125,63695.742515625,SL,-75.52854843750029,6.294045703125001,6.369574251562501,-88.19216839218778,154.690959231249,No,2024-09,2024,9
6,2024-09-26,SHORT,64301.96875,65073.592375,SL,-77.16236250000003,6.430196875000001,6.507359237500001,-90.09991861250003,64.59104061874896,No,2024-09,2024,9
7,2024-10-01,SHORT,65181.01953125,62573.77875,TP,260.72407812500023,6.518101953125001,6.257377875,247.94859829687522,312.5396389156242,No,2024-10,2024,10
8,2024-10-18,SHORT,67041.109375,67845.6026875,SL,-80.44933124999953,6.7041109375,6.78456026875,-93.93800245624954,218.60163645937467,No,2024-10,2024,10
9,2024-10-28,SHORT,68418.7890625,69239.81453125,SL,-82.10254687499983,6.84187890625,6.923981453125,-95.86840723437483,122.73322922499985,No,2024-10,2024,10
10,2024-11-09,SHORT,75639.078125,76546.7470625,SL,-90.76689374999988,7.563907812500001,7.65467470625,-105.98547626874989,16.74775295624994,No,2024-11,2024,11
