Trade,Date,Direction,Entry_Price,Exit_Price,Result,Gross_PnL,Entry_Fee,Exit_Fee,Net_PnL,Cumulative_PnL,Duration_Hours
0,2026-01-06 17:00,LONG,93213.8984375,92095.33165625,SL,-111.85667812500033,9.321389843750001,9.209533165625,-130.38760113437533,-130.38760113437533,10.0
1,2026-01-08 06:00,LONG,91550.1796875,90451.57753125,SL,-109.86021562499955,9.15501796875,9.045157753125,-128.06039134687455,-258.4479924812499,37.0
2,2026-01-13 14:00,SHORT,91112.8046875,92206.15834375,SL,-109.3353656249994,9.111280468750001,9.220615834375,-127.66726192812439,-386.1152544093743,107.0
3,2026-01-19 00:00,LONG,94605.625,93470.3575,SL,-113.52675000000018,9.4605625,9.347035750000002,-132.33434825000018,-518.4496026593745,57.0
4,2026-01-25 19:00,SHORT,90108.515625,86504.175,TP,360.43406249999975,9.010851562500001,8.650417500000001,342.77279343749973,-175.67680922187475,85.0
5,2026-01-27 02:00,SHORT,87551.1015625,88601.71478125,SL,-105.06132187500043,8.755110156250002,8.860171478125002,-122.67660350937543,-298.35341273125016,17.0
6,2026-01-28 13:00,SHORT,89012.0546875,90080.19934375,SL,-106.8144656250006,8.90120546875,9.008019934375001,-124.72369102812559,-423.07710375937575,6.0
7,2026-02-03 17:00,SHORT,78959.21875,75800.84999999999,TP,315.8368750000009,7.895921875,7.5800849999999995,300.3608681250009,-122.71623563437487,24.0
8,2026-02-04 17:00,SHORT,76421.3046875,73364.4525,TP,305.68521875000005,7.6421304687500005,7.336445250000001,290.70664303125005,167.99040739687518,9.0
9,2026-02-06 14:00,SHORT,67311.828125,68119.5700625,SL,-80.77419375000028,6.7311828125,6.811957006250001,-94.31733356875027,73.67307382812491,1.0
10,2026-02-06 16:00,SHORT,68182.078125,69000.2630625,SL,-81.8184937500002,6.818207812500001,6.900026306250001,-95.5367278687502,-21.863654040625278,2.0
11,2026-02-06 17:00,SHORT,69743.1484375,70580.06621875,SL,-83.69177812499984,6.97431484375,7.058006621875,-97.72409959062483,-119.58775363125011,1.0
12,2026-02-07 10:00,SHORT,70801.6171875,67969.55249999999,TP,283.20646875000097,7.08016171875,6.796955249999999,269.329351781251,149.74159815000087,17.0
13,2026-02-10 11:00,SHORT,71404.6875,68548.5,TP,285.61875000000003,7.14046875,6.854850000000001,271.62343125,421.3650294000009,46.0
14,2026-02-13 15:00,SHORT,66946.578125,67749.9370625,SL,-80.33589375000011,6.694657812500001,6.77499370625,-93.80554526875011,327.55948413125077,5.0
15,2026-02-14 08:00,SHORT,68573.484375,69396.3661875,SL,-82.28818124999962,6.857348437500001,6.93963661875,-96.08516630624962,231.47431782500115,17.0
16,2026-02-15 07:00,SHORT,69616.640625,70452.0403125,SL,-83.53996875000013,6.961664062500001,7.045204031250001,-97.54683684375013,133.92748098125102,21.0
17,2026-02-20 05:00,SHORT,66813.484375,67615.2461875,SL,-80.17618125000008,6.6813484375000005,6.761524618750001,-93.61905430625009,40.30842667500093,20.0
18,2026-02-23 01:00,SHORT,67835.203125,65121.795,TP,271.3408125000002,6.783520312500001,6.5121795,258.0451126875002,298.3535393625011,67.0
19,2026-02-25 14:00,SHORT,65926.2578125,66717.37290625,SL,-79.11150937500061,6.592625781250001,6.671737290625002,-92.37587244687562,205.9776669156255,13.0
20,2026-02-25 16:00,SHORT,66909.9296875,67712.84884375,SL,-80.29191562500056,6.690992968750001,6.771284884375001,-93.75419347812556,112.22347343749993,2.0
21,2026-02-25 18:00,SHORT,68298.890625,69118.4773125,SL,-81.95866875000065,6.8298890625,6.911847731250001,-95.70040554375066,16.523067893749285,2.0
22,2026-02-26 16:00,LONG,67954.359375,67138.9070625,SL,-81.54523124999979,6.795435937500001,6.71389070625,-95.05455789374979,-78.5314900000005,8.0
23,2026-03-02 15:00,SHORT,67271.4453125,68078.70265625,SL,-80.7257343749996,6.7271445312500004,6.807870265625,-94.26074917187461,-172.7922391718751,38.0
24,2026-03-03 08:00,LONG,68093.921875,67276.7948125,SL,-81.71270625000034,6.8093921875,6.72767948125,-95.24977791875034,-268.04201709062545,2.0
25,2026-03-04 08:00,LONG,66989.2109375,69668.779375,TP,267.95684374999985,6.69892109375,6.9668779375000005,254.29104471874984,-13.750972371875605,24.0
26,2026-03-06 11:00,LONG,71211.6015625,70357.06234375,SL,-85.45392187499965,7.12116015625,7.0357062343750005,-99.61078826562465,-113.36176063750025,9.0
27,2026-03-10 02:00,SHORT,69038.953125,69867.4205625,SL,-82.84674375000031,6.9038953125,6.9867420562500016,-96.7373811187503,-210.09914175625056,13.0
28,2026-03-13 10:00,LONG,69403.859375,72180.01375,TP,277.6154374999998,6.9403859375,7.218001375,263.4570501874998,53.35790843124926,30.0
29,2026-03-16 04:00,LONG,70859.34375,73693.7175,TP,283.4373749999999,7.085934375000001,7.36937175,268.98206887499987,322.3399773062491,50.0
30,2026-03-18 13:00,LONG,72931.2109375,72056.03640625,SL,-87.51745312499989,7.29312109375,7.205603640625001,-102.01617785937489,220.32379944687423,2.0
31,2026-03-18 18:00,LONG,72050.671875,71186.0638125,SL,-86.46080625000032,7.205067187500001,7.11860638125,-100.78447981875033,119.5393196281239,5.0
32,2026-03-22 21:00,SHORT,70785.0546875,67953.6525,TP,283.1402187500004,7.07850546875,6.79536525,269.2663480312504,388.8056676593743,65.0
33,2026-03-26 17:00,SHORT,71410.3125,68553.9,TP,285.6412500000006,7.14103125,6.85539,271.64482875000056,660.4504964093749,76.0
34,2026-03-30 04:00,SHORT,66508.2421875,67306.34109375,SL,-79.80989062500012,6.65082421875,6.730634109375001,-93.19134895312513,567.2591474562497,45.0
