Trade,Date,Direction,Entry_Price,Exit_Price,Result,Net_PnL,Cumulative_PnL
0,2024-07-19 00:00,SHORT,63974.06640625,64741.755203125,SL,-89.64046184843765,-89.64046184843765
1,2024-07-21 00:00,SHORT,66710.15625,67510.678125,SL,-93.47427093750058,-183.11473278593823
2,2024-07-24 00:00,SHORT,68154.5234375,65428.3425,TP,259.25980715625013,76.1450743703119
3,2024-07-26 00:00,SHORT,65372.1328125,66156.59840625,SL,-91.59943249687566,-15.454358126563761
4,2024-07-31 00:00,SHORT,67912.0625,65195.579999999994,TP,258.33748575000055,242.8831276234368
5,2024-09-24 00:00,SHORT,62940.45703125,63695.742515625,SL,-88.19216839218778,154.690959231249
6,2024-09-26 00:00,SHORT,64301.96875,65073.592375,SL,-90.09991861250003,64.59104061874896
7,2024-10-01 00:00,SHORT,65181.01953125,62573.77875,TP,247.94859829687522,312.5396389156242
8,2024-10-18 00:00,SHORT,67041.109375,67845.6026875,SL,-93.93800245624954,218.60163645937467
9,2024-10-28 00:00,SHORT,68418.7890625,69239.81453125,SL,-95.86840723437483,122.73322922499985
10,2024-11-09 00:00,SHORT,75639.078125,76546.7470625,SL,-105.98547626874989,16.74775295624994
11,2024-11-10 00:00,SHORT,76778.8671875,77700.21359375,SL,-107.5825487031249,-90.83479574687496
12,2024-11-11 00:00,SHORT,80474.1875,81439.87775,SL,-112.76043152499997,-203.59522727187493
13,2024-11-13 00:00,SHORT,88701.484375,89765.9021875,SL,-124.28851990625037,-327.8837471781253
14,2024-11-19 00:00,SHORT,90584.1640625,91671.17403125,SL,-126.92653068437544,-454.81027786250075
15,2024-11-20 00:00,SHORT,92343.7890625,93451.91453125,SL,-129.3921172343754,-584.2023950968762
16,2024-11-21 00:00,SHORT,94339.4921875,95471.56609375,SL,-132.1884964531257,-716.3908915500018
17,2024-11-25 00:00,SHORT,98504.7265625,94564.53749999999,TP,374.7119798437509,-341.6789117062509
18,2025-01-03 00:00,LONG,93530.2265625,97271.435625,TP,355.04074003124987,13.361828324998896
19,2025-02-02 00:00,SHORT,103960.171875,99801.765,TP,395.46449381250005,408.82632213749895
20,2025-02-24 00:00,LONG,95773.3828125,94624.10221875,SL,-133.96780787812443,274.8585142593745
21,2025-04-25 00:00,SHORT,93441.890625,94563.1933125,SL,-130.9307771437507,143.92773711562384
22,2025-05-01 00:00,SHORT,94720.5,95857.14600000001,SL,-132.7223646000008,11.205372515623026
23,2025-05-08 00:00,SHORT,96492.3359375,97650.24396875,SL,-135.20506111562509,-123.99968860000205
24,2025-05-10 00:00,SHORT,103241.4609375,104480.35846875,SL,-144.6619350656247,-268.66162366562673
25,2025-05-18 00:00,SHORT,104696.328125,105952.6840625,SL,-146.7004949687504,-415.3621186343771
26,2025-05-21 00:00,SHORT,106446.0078125,107723.35990625,SL,-149.152146146875,-564.5142647812522
27,2025-05-22 00:00,SHORT,109678.078125,110994.2150625,SL,-153.6809230687507,-718.1951878500029
28,2025-05-29 00:00,SHORT,111673.28125,107206.34999999999,TP,424.8051618750009,-293.39002597500195
29,2025-06-08 00:00,LONG,101575.953125,105638.99125,TP,385.5823180625007,92.19229208749874
30,2025-07-09 00:00,SHORT,109232.0703125,110542.85515625,SL,-153.0559769218757,-60.86368483437694
31,2025-07-11 00:00,SHORT,115987.203125,117379.0495625,SL,-162.5212690187504,-223.38495385312734
32,2025-07-13 00:00,SHORT,117516.9921875,118927.19609375,SL,-164.66480945312472,-388.0497633062521
33,2025-08-01 00:00,SHORT,119116.1171875,114351.47249999999,TP,453.1177097812511,65.06794647499908
34,2025-08-10 00:00,LONG,114141.4453125,118707.10312500001,TP,433.2809264062509,498.34887288125
35,2025-08-29 00:00,LONG,111222.0625,109887.39775,SL,-155.57742102499964,342.77145185625034
36,2025-09-25 00:00,SHORT,116101.578125,111457.515,TP,441.65040318750005,784.4218550437504
37,2025-09-29 00:00,LONG,109049.2890625,113411.26062500001,TP,413.951101281251,1198.3729563250013
38,2025-10-10 00:00,SHORT,124752.53125,119762.43,TP,474.5586288750007,1672.931585200002
39,2025-10-26 00:00,LONG,108666.7109375,113013.379375,TP,412.4988347187504,2085.4304199187522
40,2026-01-13 00:00,SHORT,93882.5546875,95009.14534375,SL,-131.54823562812524,1953.882184290627
41,2026-01-14 00:00,SHORT,95321.78125,96465.64262500001,SL,-133.56487988750078,1820.3173044031264
42,2026-01-19 00:00,SHORT,96929.328125,93052.155,TP,368.7191641875002,2189.0364685906266
