Date,Type,Entry_Price,Exit_Price,Gross_PnL,Fees,Net_PnL,Win,YearMonth,Year
2024-04-30 08:00,SHORT,64513.89453125,61933.338749999995,258.05557812500047,12.644723328125,245.41085479687547,Yes,2024-04,2024
2024-05-03 12:00,SHORT,59110.0078125,59819.32790625,-70.93200937500005,11.892933571875002,-82.82494294687504,No,2024-05,2024
2024-05-03 20:00,SHORT,61662.1953125,62402.14165625,-73.99463437500017,12.406433696875002,-86.40106807187519,No,2024-05,2024
2024-05-04 10:00,SHORT,62860.75,63615.079,-75.43289999999979,12.647582900000002,-88.0804828999998,No,2024-05,2024
2024-05-07 23:00,LONG,63165.90625,62407.915375,-75.79908750000031,12.557382162500001,-88.35646966250032,No,2024-05,2024
2024-05-10 17:00,SHORT,63295.296875,60763.485,253.18118749999996,12.4058781875,240.77530931249996,Yes,2024-05,2024
2024-05-13 08:00,SHORT,61626.58203125,62366.101015625,-73.95189843749976,12.3992683046875,-86.35116674218727,No,2024-05,2024
2024-05-15 12:00,SHORT,62785.90234375,63539.333171875,-75.34308281249979,12.632523551562501,-87.97560636406229,No,2024-05,2024
2024-05-20 19:00,LONG,66041.515625,68683.17625,264.1660625000004,13.4724691875,250.69359331250038,Yes,2024-05,2024
2024-05-23 13:00,LONG,69692.6328125,68856.32121875,-83.6311593749997,13.854895403125003,-97.4860547781247,No,2024-05,2024
2024-06-04 15:00,LONG,67674.4765625,70381.455625,270.69790625000024,13.805593218750001,256.89231303125024,Yes,2024-06,2024
2024-06-11 10:00,SHORT,69699.328125,66911.355,278.79731250000043,13.661068312500001,265.13624418750044,Yes,2024-06,2024
2024-06-12 12:00,SHORT,68000.65625,68816.664125,-81.60078749999957,13.6817320375,-95.28251953749957,No,2024-06,2024
2024-06-13 15:00,SHORT,69384.7421875,66609.3525,277.53896875000066,13.59940946875,263.93955928125064,Yes,2024-06,2024
2024-06-17 18:00,SHORT,66138.9921875,66932.66009375,-79.36679062500043,13.307165228125001,-92.67395585312543,No,2024-06,2024
2024-06-24 04:00,SHORT,65435.52734375,62818.10625,261.7421093750003,12.825363359375,248.91674601562534,Yes,2024-06,2024
2024-06-30 22:00,SHORT,61423.296875,62160.3764375,-73.70795625000028,12.358367331250001,-86.06632358125027,No,2024-06,2024
2024-07-01 17:00,SHORT,62799.94140625,63553.540703125,-75.35992968749997,12.6353482109375,-87.99527789843748,No,2024-07,2024
2024-07-03 01:00,LONG,62548.40234375,61797.821515625,-75.05808281249993,12.434622385937502,-87.49270519843743,No,2024-07,2024
2024-07-06 15:00,SHORT,56570.2265625,57249.06928125,-67.88427187499984,11.381929584375001,-79.26620145937484,No,2024-07,2024
2024-07-06 22:00,SHORT,57321.34765625,58009.203828125,-68.78561718749988,11.533055148437501,-80.31867233593739,No,2024-07,2024
2024-07-08 00:00,SHORT,58102.40234375,55778.30625,232.40960937499986,11.388070859375,221.02153851562488,Yes,2024-07,2024
2024-07-09 23:00,SHORT,57291.91796875,57979.420984375,-68.75030156249996,11.5271338953125,-80.27743545781246,No,2024-07,2024
2024-07-14 05:00,SHORT,59288.97265625,60000.440328125,-71.14676718749979,11.9289412984375,-83.07570848593728,No,2024-07,2024
2024-07-19 19:00,LONG,64252.58203125,66822.6853125,257.0103281250005,13.107526734375002,243.9028013906255,Yes,2024-07,2024
2024-07-23 19:00,LONG,66631.7265625,65832.14584375,-79.95807187500031,13.246387240625001,-93.20445911562531,No,2024-07,2024
2024-07-25 01:00,LONG,65885.0625,65094.44175,-79.06207500000019,13.097950425,-92.16002542500019,No,2024-07,2024
2024-07-26 02:00,SHORT,65811.203125,66600.9375625,-78.97344374999957,13.24121406875,-92.21465781874959,No,2024-07,2024
2024-07-26 13:00,SHORT,67015.4375,67819.62275,-80.4185249999995,13.483506025,-93.9020310249995,No,2024-07,2024
2024-07-30 01:00,LONG,67024.6796875,66220.38353125,-80.42961562499987,13.324506321875003,-93.75412194687487,No,2024-07,2024
2024-08-04 15:00,SHORT,61964.3984375,59485.822499999995,247.85759375000055,12.14502209375,235.71257165625056,Yes,2024-08,2024
2024-08-06 16:00,SHORT,55910.17578125,56581.097890625,-67.09221093750021,11.249127367187501,-78.34133830468772,No,2024-08,2024
2024-08-08 12:00,SHORT,56766.86328125,57448.065640625,-68.12023593749983,11.421492892187501,-79.54172882968733,No,2024-08,2024
2024-08-08 14:00,SHORT,57960.125,58655.6465,-69.55215000000025,11.661577150000001,-81.21372715000025,No,2024-08,2024
2024-08-08 21:00,SHORT,58961.26953125,59668.804765625,-70.75352343749982,11.8630074296875,-82.61653086718732,No,2024-08,2024
2024-08-08 22:00,SHORT,61065.796875,61798.5864375,-73.27895625000019,12.286438331250002,-85.56539458125019,No,2024-08,2024
2024-08-09 15:00,SHORT,62427.046875,59929.965,249.70818750000035,12.235701187500002,237.47248631250034,Yes,2024-08,2024
2024-08-11 20:00,LONG,59900.8046875,59181.99503125,-71.88096562499996,11.908279971875,-83.78924559687495,No,2024-08,2024
2024-08-14 23:00,SHORT,61226.2109375,58777.1625,244.90484375000017,12.000337343750001,232.90450640625016,Yes,2024-08,2024
2024-08-15 19:00,SHORT,59727.2265625,57338.1375,238.9089062500003,11.70653640625,227.20236984375032,Yes,2024-08,2024
2024-08-16 17:00,SHORT,58440.49609375,59141.782046875,-70.12859531249997,11.7582278140625,-81.88682312656248,No,2024-08,2024
2024-08-18 02:00,SHORT,59163.39453125,59873.355265625,-70.99607343750031,11.903674979687501,-82.89974841718782,No,2024-08,2024
2024-08-20 00:00,SHORT,59541.63671875,60256.136359375,-71.44996406249993,11.979777307812501,-83.42974137031243,No,2024-08,2024
2024-08-20 05:00,SHORT,60385.1796875,61109.80184375,-72.46221562499996,12.149498153125002,-84.61171377812495,No,2024-08,2024
2024-08-23 17:00,LONG,59476.6171875,61855.681875,237.90646875000022,12.133229906250001,225.77323884375022,Yes,2024-08,2024
2024-08-27 00:00,LONG,63646.1640625,62882.41009375,-76.3753968750003,12.652857415625,-89.0282542906253,No,2024-08,2024
2024-08-27 21:00,LONG,62325.88671875,61577.976078125,-74.79106406249994,12.390386279687501,-87.18145034218745,No,2024-08,2024
2024-09-01 22:00,SHORT,60135.0078125,57729.6075,240.5400312500002,11.786461531250001,228.75356971875019,Yes,2024-09,2024
2024-09-03 01:00,SHORT,58630.93359375,59334.504796875,-70.35712031250004,11.796543839062501,-82.15366415156254,No,2024-09,2024
